Date,Region,Product_Category,Product_Name,Sales_Channel,Customer_Segment,Units_Sold,Unit_Price,Revenue,Costs,Profit,Customer_Satisfaction
2023-01-05,North America,Electronics,Smartphone X Pro,Online,Consumer,15,899.99,13499.85,10499.88,2999.97,4.2
2023-01-07,Europe,Electronics,Laptop Ultra,In-Store,Business,8,1299.99,10399.92,7279.94,3119.98,4.7
2023-01-10,Asia,Home Goods,Smart Speaker,Online,Consumer,22,129.99,2859.78,1429.89,1429.89,4.1
2023-01-12,North America,Electronics,Wireless Earbuds,Online,Consumer,35,149.99,5249.65,2624.83,2624.83,4.5
2023-01-15,Europe,Apparel,Winter Jacket,In-Store,Consumer,12,189.99,2279.88,1139.94,1139.94,3.9
2023-01-18,North America,Electronics,Tablet Mini,Online,Education,18,349.99,6299.82,4409.87,1889.95,4.3
2023-01-20,Asia,Electronics,Smartphone X Pro,In-Store,Consumer,9,899.99,8099.91,6299.93,1799.98,4.0
2023-01-23,Europe,Home Goods,Coffee Maker Pro,Online,Consumer,14,199.99,2799.86,1399.93,1399.93,4.6
2023-01-25,North America,Apparel,Running Shoes,In-Store,Consumer,28,129.99,3639.72,1819.86,1819.86,4.4
2023-01-28,Asia,Electronics,Smart Watch,Online,Consumer,19,249.99,4749.81,3324.87,1424.94,4.2
2023-01-30,Europe,Office Supplies,Ergonomic Chair,In-Store,Business,7,299.99,2099.93,1259.96,839.97,4.8
2023-02-01,North America,Electronics,Laptop Ultra,Online,Business,11,1299.99,14299.89,10009.92,4289.97,4.5
2023-02-03,Asia,Home Goods,Air Purifier,In-Store,Consumer,16,179.99,2879.84,1583.91,1295.93,3.7
2023-02-05,Europe,Electronics,Wireless Earbuds,Online,Consumer,31,149.99,4649.69,2789.81,1859.88,4.3
2023-02-08,North America,Apparel,Designer Bag,In-Store,Consumer,5,499.99,2499.95,1749.97,749.99,4.1
2023-02-10,Asia,Electronics,Tablet Mini,Online,Education,13,349.99,4549.87,3184.91,1364.96,4.0
2023-02-12,Europe,Home Goods,Smart Speaker,In-Store,Consumer,24,129.99,3119.76,1871.86,1247.90,4.4
2023-02-15,North America,Electronics,Smartphone X Pro,Online,Consumer,17,899.99,15299.83,11899.87,3399.96,4.6
2023-02-18,Asia,Apparel,Winter Jacket,In-Store,Consumer,9,189.99,1709.91,1025.95,683.96,3.8
2023-02-20,Europe,Electronics,Smart Watch,Online,Consumer,26,249.99,6499.74,4549.82,1949.92,4.2
2023-02-22,North America,Home Goods,Coffee Maker Pro,In-Store,Consumer,11,199.99,2199.89,1319.93,879.96,4.5
2023-02-25,Asia,Electronics,Laptop Ultra,Online,Business,6,1299.99,7799.94,5459.96,2339.98,4.7
2023-02-27,Europe,Apparel,Running Shoes,In-Store,Consumer,21,129.99,2729.79,1637.87,1091.92,4.0
2023-03-01,North America,Electronics,Wireless Earbuds,Online,Consumer,29,149.99,4349.71,2609.83,1739.88,4.3
2023-03-03,Asia,Home Goods,Smart Speaker,In-Store,Consumer,18,129.99,2339.82,1403.89,935.93,4.1
2023-03-05,Europe,Electronics,Tablet Mini,Online,Education,15,349.99,5249.85,3674.90,1574.96,4.4
2023-03-08,North America,Apparel,Designer Bag,In-Store,Consumer,4,499.99,1999.96,1399.97,599.99,4.2
2023-03-10,Asia,Electronics,Smartphone X Pro,Online,Consumer,12,899.99,10799.88,8399.90,2399.98,4.5
2023-03-12,Europe,Home Goods,Air Purifier,In-Store,Consumer,19,179.99,3419.81,2056.89,1362.92,3.9
2023-03-15,North America,Electronics,Smart Watch,Online,Consumer,23,249.99,5749.77,4024.84,1724.93,4.3
2023-03-18,Asia,Office Supplies,Ergonomic Chair,In-Store,Business,8,299.99,2399.92,1439.95,959.97,4.6
2023-03-20,Europe,Electronics,Laptop Ultra,Online,Business,9,1299.99,11699.91,8189.94,3509.97,4.8
2023-03-22,North America,Home Goods,Coffee Maker Pro,In-Store,Consumer,13,199.99,2599.87,1559.92,1039.95,4.4
2023-03-25,Asia,Apparel,Running Shoes,Online,Consumer,25,129.99,3249.75,1949.85,1299.90,4.0
2023-03-27,Europe,Electronics,Wireless Earbuds,In-Store,Consumer,27,149.99,4049.73,2429.84,1619.89,4.2
2023-03-30,North America,Home Goods,Smart Speaker,Online,Consumer,20,129.99,2599.80,1559.88,1039.92,4.1
2023-04-02,Asia,Electronics,Tablet Mini,In-Store,Education,14,349.99,4899.86,3429.90,1469.96,4.3
